what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.pagedesigner,1.3.0.v20100510-p001,"org.eclipse.jst.pagedesigner",1350974840609
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1350974840687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350974857328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350974929765
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350974930203
stopped,bundle,eclipseme.core.resources,1.7.8,"eclipseme.core.resources",1350974932187
stopped,bundle,eclipseme.toolkit.me4se,1.7.7,"eclipseme.toolkit.me4se",1350974932218
stopped,bundle,eclipseme.toolkit.microemu,1.7.8,"eclipseme.toolkit.microemu",1350974932250
stopped,bundle,eclipseme.toolkit.motorola,1.7.7,"eclipseme.toolkit.motorola",1350974932281
stopped,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,"eclipseme.toolkit.mpowerplayer",1350974932312
stopped,bundle,eclipseme.toolkit.uei,1.7.8,"eclipseme.toolkit.uei",1350974932328
stopped,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1350974932328
stopped,bundle,eclipseme.core,1.7.9,"eclipseme.core",1350974932328
stopped,bundle,antenna.preprocessor.v2,1.7.7,"antenna.preprocessor.v2",1350974932359
stopped,bundle,oracle.eclipse.tools.orm.ui,3.2.0.201101271036,"oracle.eclipse.tools.orm.ui",1350974932500
stopped,bundle,oracle.eclipse.tools.spring.ui,3.2.0.201101271036,"oracle.eclipse.tools.spring.ui",1350974932500
stopped,bundle,oracle.eclipse.tools.orm,3.2.0.201101271036,"oracle.eclipse.tools.orm",1350974932500
stopped,bundle,oracle.eclipse.tools.weblogic.legacy,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.legacy",1350974932531
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1350974932546
